요양기관명,좌표(X),좌표(Y),시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호
이층약국,126.9156678,37.6001182,서울,110015,은평구,역촌동,03421,"서울특별시 은평구 연서로 9, 2층 205(상가)호 (역촌동, 센타폴리스)",02-6085-0466
한림약국,127.1347213,37.5365899,서울,110002,강동구,천호동,05339,"서울특별시 강동구 성안로 149, 1층 (천호동)",02-486-9743
21세기상계약국,127.0576424,37.6666795,서울,110022,노원구,상계동,01674,"서울특별시 노원구 동일로 1548, (상계동)",937-2288
정문약국,127.000395,35.059973,전남,360022,화순군,화순읍,58127,"전라남도 화순군 화순읍 서양로 313, (화순읍)",061-372-7077
알찬약국,127.1579023,37.44592,경기,310402,성남중원구,금광동,13179,"경기도 성남시 중원구 산성대로 382, 1층 (금광동)",
진성약국,127.0475876,37.7402702,경기,310800,의정부시,의정부동,11695,"경기도 의정부시 평화로 542, (의정부동)",031-846-4444
삼성정문약국,127.0834812,37.485765,서울,110001,강남구,일원동,06351,"서울특별시 강남구 일원로 95, 109호 (일원동, 신영프라자)",3412-4416
동산약국,127.0657409,37.6434962,서울,110022,노원구,중계동,01782,"서울특별시 노원구 동일로 1280, 1층 109호,110호 (중계동, 무지개아파트단지내상가)",948-9476
서울숲약국,127.0264487,37.5477337,서울,110011,성동구,금호동4가,04743,"서울특별시 성동구 독서당로 336, 리버마이다스빌 2층 207호 (금호동4가)",02-2297-6767
행복약국,126.9317563,37.5114623,서울,110008,동작구,대방동,06942,"서울특별시 동작구 등용로 115, 101호 (대방동, 엘리시아빌딩)",02-822-9095
논현이화약국,126.7243667,37.4000007,인천,220006,인천남동구,논현동,21679,"인천광역시 남동구 논고개로 101, 505-1호 (논현동, 아름다운타워)",032-437-3308
힘찬약국,127.1591729,37.4344042,경기,310402,성남중원구,상대원동,13242,"경기도 성남시 중원구 희망로 316, 1층 (상대원동)",031-605-5122
경희약국,129.328588,35.53515,울산,260001,울산남구,달동,44726,"울산광역시 남구 번영로 109, 106호 (달동)",052-260-2672
한독큰약국,126.8812499,35.1268362,광주,240003,광주서구,풍암동,62059,"광주광역시 서구 풍암순환로 183, 117동 2층 211-1호 (풍암동, 우미광장아파트)",062-651-8477
로타리약국,129.0586309,35.1475615,부산,210004,부산진구,범천동,47351,"부산광역시 부산진구 중앙대로 613, (범천동)",051-633-9145
면목이화온누리약국,127.090038,37.5891469,서울,110019,중랑구,면목동,02161,"서울특별시 중랑구 겸재로 201, 1층 (면목동, 봄작시티 201)",02-434-3155
참약사 더봄약국,128.3426075,36.1173322,경북,370200,구미시,송정동,39286,"경상북도 구미시 송정대로 34, 1층 (송정동)",054-456-1023
햇님약국,129.0909076,35.2348348,부산,210011,부산금정구,부곡동,46278,"부산광역시 금정구 중앙대로1685번길 15, 1층 (부곡동)",051-582-6119
금성당약국,129.1124805,35.3047544,부산,210100,부산기장군,철마면,46002,"부산광역시 기장군 철마면 여락송정로 334, 금성당약국",051-589-3377
한시까지약국,126.9091128,37.5188312,서울,110013,영등포구,영등포동3가,07303,"서울특별시 영등포구 영등포로 250-1, (영등포동3가)",02-2632-7700
기장메디칼약국,129.2170665,35.2449069,부산,210100,부산기장군,기장읍,46065,"부산광역시 기장군 기장읍 읍내로 116, 1층",051-723-2080
하얀약국,126.9139652,37.4833043,서울,110004,관악구,신림동,08767,"서울특별시 관악구 난곡로 327-1, 1층 (신림동)",02-867-8271
보리약국,127.4845414,34.9520147,전남,360400,순천시,장천동,57956,"전라남도 순천시 중앙5길 5, 보리약국 (장천동)",061-743-3005
마음약국,127.0435913,37.5799292,서울,110007,동대문구,청량리동,02573,"서울특별시 동대문구 왕산로 183, 1층 (청량리동)",02-964-0675
시장약국,128.6640982,37.3810521,강원,320009,정선군,정선읍,26130,"강원특별자치도 정선군 정선읍 비봉로 52-1, (정선읍)",033-562-3840
서현약국,127.1247778,37.3837934,경기,310403,성남분당구,서현동,13588,"경기도 성남시 분당구 중앙공원로39번길 49, 서현 지엔느 106호 (서현동)",031-709-3665
가비약국,128.6246499,35.8378001,대구,230005,대구수성구,지산동,42176,"대구광역시 수성구 동대구로 86, 1층 101호 (지산동)",053-764-3332
모두온누리약국,126.9575645,37.4798287,서울,110004,관악구,봉천동,08739,"서울특별시 관악구 남부순환로 1869, 1층 (봉천동)",875-5955
이화약국,127.4206077,37.0739069,경기,312400,안성시,죽산면,17519,"경기도 안성시 죽산면 죽주로 226-1, (죽산면)",031-676-6031
새봄약국,127.1186881,37.5339811,서울,110018,송파구,풍납동,05522,"서울특별시 송파구 풍성로 55, 1층 (풍납동)",02-474-3118
스마일약국,127.1240106,37.3037362,경기,312001,용인기흥구,마북동,16911,"경기도 용인시 기흥구 마북로154번길 3, 테라스가든 B빌딩 202-2호 (마북동)",
라온약국,126.71513,35.9636742,전북,350100,군산시,수송동,54101,"전북특별자치도 군산시 월명로 219, 1층 (수송동)",063-462-1056
아이사랑약국,126.7851801,35.0177883,전남,360200,나주시,빛가람동,58325,"전라남도 나주시 문화로 216, 101~102호 (빛가람동)",061-930-6383
모아약국,126.8017332,37.3283895,경기,311101,안산단원구,원곡동,15382,"경기도 안산시 단원구 원초로 30, 3층 302호 (원곡동, 보성프라자)",031-484-1276
로데오약국,126.765954,37.7521117,경기,312200,파주시,금촌동,10915,"경기도 파주시 금릉역로 84, 청원센트럴타워 101호 (금촌동)",031-943-6253
365그랜드약국,126.9017344,37.4558772,서울,110025,금천구,시흥동,08626,"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",02-896-1223
보성약국,127.2128471,37.5860408,경기,311500,남양주시,와부읍,12209,"경기도 남양주시 와부읍 덕소로97번길 7, 1층",521-3646
법원천하약국,126.8726287,37.8492818,경기,312200,파주시,법원읍,10826,"경기도 파주시 법원읍 술이홀로 873, 102호",031-959-9002
제일온누리약국,126.9143619,37.4069474,경기,310701,안양만안구,안양동,13985,"경기도 안양시 만안구 안양로 407, 102호 (안양동)",070-7633-3870
동신약국,126.8356424,37.6152314,경기,311901,고양덕양구,행신동,10526,"경기도 고양시 덕양구 용현로 27, 103호 (행신동, 행신프라자)",031-972-3111
유림약국,126.9774842,37.3987841,경기,310702,안양동안구,관양동,13943,"경기도 안양시 동안구 흥안대로 502, (관양동)",031-421-3973
서평택약국,126.866432,36.9876686,경기,311200,평택시,포승읍,17951,"경기도 평택시 포승읍 포승향남로 148, 148",031-684-9964
봄한약국,127.8796672,37.6905719,강원,320013,홍천군,홍천읍,25135,"강원특별자치도 홍천군 홍천읍 꽃뫼로 54-3, (홍천읍)",033-435-0020
이수약국,127.773863,36.1720214,충북,330004,영동군,영동읍,29149,"충청북도 영동군 영동읍 난계로 1202, (영동읍)",043-743-3054
행복한약국,126.6392505,36.8908257,충남,340900,당진시,읍내동,31774,"충청남도 당진시 시청1로 75, (읍내동)",041-357-5270
자연치유약국,127.1426736,37.5912614,경기,311000,구리시,수택동,11940,"경기도 구리시 체육관로74번길 80, 107호 (수택동, 럭키아파트상가)",031-566-1595
새서울약국,126.8902483,37.4957168,서울,110005,구로구,구로동,08302,"서울특별시 구로구 가마산로 268, 대림역와이즈플레이스 108호 (구로동)",02-862-0268
