약국,경도,위도
이층약국,126.9156678,37.6001182
한림약국,127.1347213,37.5365899
21세기상계약국,127.0576424,37.6666795
정문약국,127.000395,35.059973
알찬약국,127.1579023,37.44592
진성약국,127.0475876,37.7402702
삼성정문약국,127.0834812,37.485765
동산약국,127.0657409,37.6434962
서울숲약국,127.0264487,37.5477337
행복약국,126.9317563,37.5114623
논현이화약국,126.7243667,37.4000007
힘찬약국,127.1591729,37.4344042
경희약국,129.328588,35.53515
한독큰약국,126.8812499,35.1268362
로타리약국,129.0586309,35.1475615
면목이화온누리약국,127.090038,37.5891469
참약사 더봄약국,128.3426075,36.1173322
햇님약국,129.0909076,35.2348348
금성당약국,129.1124805,35.3047544
한시까지약국,126.9091128,37.5188312
기장메디칼약국,129.2170665,35.2449069
하얀약국,126.9139652,37.4833043
보리약국,127.4845414,34.9520147
마음약국,127.0435913,37.5799292
시장약국,128.6640982,37.3810521
서현약국,127.1247778,37.3837934
가비약국,128.6246499,35.8378001
모두온누리약국,126.9575645,37.4798287
이화약국,127.4206077,37.0739069
새봄약국,127.1186881,37.5339811
스마일약국,127.1240106,37.3037362
라온약국,126.71513,35.9636742
아이사랑약국,126.7851801,35.0177883
모아약국,126.8017332,37.3283895
로데오약국,126.765954,37.7521117
365그랜드약국,126.9017344,37.4558772
보성약국,127.2128471,37.5860408
법원천하약국,126.8726287,37.8492818
제일온누리약국,126.9143619,37.4069474
동신약국,126.8356424,37.6152314
유림약국,126.9774842,37.3987841
서평택약국,126.866432,36.9876686
봄한약국,127.8796672,37.6905719
이수약국,127.773863,36.1720214
행복한약국,126.6392505,36.8908257
자연치유약국,127.1426736,37.5912614
새서울약국,126.8902483,37.4957168
더사랑약국,126.6758308,37.5163566
광교팜약국,127.0695933,37.2971016
메디칼약국,126.7458544,37.7120908
문산보룡약국,126.7852505,37.8564009
청담장수 한약국,127.0502083,37.5250602
대도약국,126.983275,37.5724922
메디팜정연약국,127.0335456,37.4864916
진선약국,127.0500875,37.5029179
국민약국,126.8580318,37.5318488
더현대약국,127.5437799,37.2053239
직영약국,127.0235512,37.6305897
새서울약국,127.0175897,37.6202822
제일성모약국,127.0440061,37.5829559
금창약국,127.0301301,37.5828078
석산약국,127.0368415,37.6034744
왕십리약국,127.0322163,37.5622059
상도약국,127.032557,37.5610862
더조은약국,126.6965865,37.593307
용원어시장약국,128.8185985,35.0935879
오남인화약국,127.1936981,37.7050852
드림약국,128.6308539,35.8853248
바다약국,127.2664684,37.0080068
교현미래약국,127.9280043,36.9807069
하나약국,126.6765279,37.4134271
365송파고은약국,127.1077249,37.5137648
베어약국,127.0654871,37.5144324
연수버들약국,126.6767294,37.4140587
부평중앙약국,126.7242358,37.4963427
소나무약국,126.9111099,37.5055197
하나프라자약국,127.047788,37.7122087
서초무지개약국,127.0277491,37.4889159
산성메디칼약국,127.1496486,37.4517929
다보온누리약국,126.9336534,37.3940293
아라큰약국,128.4321612,35.2747071
약대종로약국,126.7704527,37.517752
로얄약국,126.7767628,37.5034899
구월대형약국,126.7084598,37.4519501
동문약국,127.1395516,37.6052186
진하약국,129.2587409,35.2965245
홍주한약국,126.6709952,36.6019497
365 열시약국,126.9358542,35.1870944
D마트약국,127.9309947,37.3475681
종로프라자약국,126.8540183,37.4797583
서현윤약국,127.1234385,37.3860699
대영약국,129.1071265,35.1380366
대학약국,127.3411451,36.3065708
라라약국,128.9655838,35.1058002
암사조은온누리약국,127.1403474,37.5552527
마장튼튼약국,127.3569914,37.2507871
우리아이약국,127.1576124,36.8186482
스카이약국,126.9911577,37.4911126
화인약국,127.1178428,37.491762
참다운약국,127.1539848,35.8458819
박하향약국,126.7127253,37.5926069
좋은우리약국,126.7111628,37.6319034
신세계약국,126.6656799,36.6001095
신시심야약국,127.1093332,35.8176135
프라자약국,126.9432631,37.4834822
오약국,126.603225,36.340204
파랑약국,129.1195631,35.2021038
참약사한마음약국,127.1325223,37.5301002
오늘약국,128.5553458,35.8708157
메가약국,127.0990133,36.1898965
한빛약국,127.092583,37.5896915
새나루약국,127.3256614,36.4919774
파마시아약국,127.0222723,37.5073723
이레중앙약국,126.7274383,37.4551234
안양왕약국,126.9214334,37.3983255
오늘약국,127.0179207,37.513494
건강약국,128.9719889,35.0809393
킴스약국,129.0913661,35.2615078
제일약국,127.1126512,37.5115228
새동해약국,129.3715131,36.0245812
통영항약국,128.4176827,34.8408406
행복약국,126.7463043,37.5547854
호약국,126.7833033,37.491807
디오션약국,126.7405298,35.9761414
자라섬약국,127.5108693,37.8314308
양천그린약국,126.858544,37.5215371
사랑약국,126.9014452,37.4506922
1층엔약국,127.0195523,37.5174876
나라약국,126.9126023,37.1143487
새뜸365약국,127.2512409,36.4845279
전일약국,127.7045298,34.7542571
완산약국,128.9360513,35.9636026
광장약국,127.068693,37.1462902
건강약국,126.983481,35.3163198
용머리약국,126.3103562,33.2338148
상록수약국,126.6971986,35.4332126
예쁜나무약국,126.6245371,37.4160764
현대약국,126.9555655,37.4855026
시민약국,126.8862467,35.6863315
예손약국,126.9851245,37.3956065
수정약국,126.9755511,37.3504088
하남정문약국,127.1978622,37.539791
서부대성약국,127.1266361,35.8057437
팜플러스약국,127.1344277,35.7870788
최선약국,127.0574429,37.5680203
송탄효자약국,127.0552674,37.0807577
시네마약국,127.0921335,37.8194236
신세계약국,127.4914365,36.1059275
라파엘약국,126.8411109,37.5663373
참소망약국,127.1310632,37.5157277
이화정문약국,126.8349216,37.5578848
새그린약국,127.1160973,37.5290315
설파약국,127.0580145,37.576847
오름약국,126.5638319,33.2477781
다정약국,127.0218693,37.5090965
강남성지약국,127.0262161,37.4998653
종로5가미래약국,127.0012655,37.5712127
정문약국,127.0733345,37.8378239
현화메디컬약국,126.923344,36.9787443
윤약국,127.5957797,37.4859745
참우리약국,126.809388,37.3366486
라라약국,127.1276148,36.8317807
송도봄약국,126.6454053,37.3945216
편한약국,127.0299423,36.77421
수약국,127.15859,37.6087966
백제약국,127.4997994,34.946037
전주종로약국중화산점,127.1233976,35.8164061
대지약국,127.1306618,35.8072987
지평선약국,127.1160707,35.7988172
다솔약국,127.1157281,35.7957216
남문약국,127.206907,35.9750542
미소약국,127.1054769,35.8160443
전주대형온누리약국,127.1136882,35.8320094
보령약국,127.1627006,35.8324956
건강약국,127.0762451,35.912621
태평양약국,126.9583231,35.9510072
호약국,126.9374158,37.4758481
국민약국,126.4749192,35.6294176
준약국,127.1058272,37.1676291
희망약국,127.2830552,35.6180416
바른약국,127.0693544,37.7512937
새천년건강한약국,126.9384049,35.943542
복조리약국,127.1428397,37.5371204
송화약국,126.8360328,37.5481315
신림4번출구약국,126.928953,37.4839457
다온약국,127.029179,37.6194786
해든약국,127.1170072,37.5103274
성일약국,127.0272414,37.5262658
도곡약국,127.0433537,37.4820433
재창약국,128.1068479,36.1262745
가람약국,126.8591391,37.4962479
안암지하철약국,127.029193,37.5864713
나무약국,127.0216578,37.5111988
성경약국,129.1137472,35.2227406
