dutyName,wgs84Lat,wgs84Lon,dutyAddr,dutyEmclsName,dutyTel1,dutyTel3,dutyEmcls,hpid,phpid,rnum
부산성모병원(재단법인 천주교부산교구유지재단),35.11045733,129.109192,부산광역시 남구 용호로232번길 25-14 (용호동),지역응급의료기관,051-933-7114,051-933-7119,G007,A1200013,A1200013,151
부안성모병원,35.7248154,126.7345257,전북특별자치도 부안군 부안읍 오정2길 24,지역응급의료기관,063-581-5100,063-580-8119,G007,A2500010,A2500010,152
부천세종병원,37.4810049,126.7911674,"경기도 부천시 소사구 호현로489번길 28 (소사본동, 세종병원)",지역응급의료센터,1599-6677,032-340-1119,G006,A2100055,A2100055,153
부천우리병원,37.52438753,126.8051856,"경기도 부천시 오정구 소사로 726, 지하4층~지상5층 (원종동)",응급의료기관 외의 의료기관(응급의료시설),032-672-4100,032-672-2400,G009,A2100058,A2100058,154
분당서울대학교병원,37.35202597,127.1244835,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",권역응급의료센터,031-787-2114,031-787-3119,G001,A2100001,A2100001,155
비에스종합병원,37.73605305,126.485707,인천광역시 강화군 강화읍 충렬사로 31,지역응급의료기관,032-290-0001,032-290-0119,G007,A1403617,A1403617,156
비에이치에스한서병원,35.16104606,129.1128811,부산광역시 수영구 수영로 615 (광안동),지역응급의료센터,051-756-0081,051-998-1119,G006,A1200007,A1200007,157
빌리브세웅병원,35.19593283,129.1082119,부산광역시 동래구 충렬대로 455 (안락동),응급의료기관 외의 의료기관(응급의료시설),051-500-1100,051-500-1119,G009,A1206845,A1206845,158
빛가람종합병원,35.02420484,126.7987474,전라남도 나주시 정보화길 49-0 (빛가람동),지역응급의료기관,061-820-0820,061-820-0909,G007,A2602211,A2602211,159
빛고을전남대학교병원,35.09447963,126.8963843,광주광역시 남구 덕남길 80 (덕남동),응급의료기관 외의 의료기관(응급의료시설),1899-0000,,G009,A1500078,A1500078,160
강일병원,35.25670435,128.8696111,경상남도 김해시 가락로 359 (구산동),지역응급의료기관,055-822-0100,055-822-0119,G007,A2803677,A2803677,31
거창적십자병원,35.68680191,127.9087708,경상남도 거창군 거창읍 중앙로 91,지역응급의료기관,055-944-3251,055-949-3359,G007,A2800076,A2800076,32
건국대학교병원,37.54084479,127.0721229,서울특별시 광진구 능동로 120-1 (화양동),지역응급의료센터,1588-1533,02-2030-5555,G006,A1100002,A1100002,33
건국대학교충주병원,36.9789751,127.9286366,충청북도 충주시 국원대로 82 (교현동),지역응급의료센터,043-840-8593,043-840-8330,G006,A2300010,A2300010,34
검단탑병원,37.59241914,126.6710401,인천광역시 서구 청마로19번길 5 (당하동),지역응급의료센터,032-590-0114,032-590-0077,G006,A1400010,A1400010,35
경기도의료원수원병원,37.29188165,126.9963878,경기도 수원시 장안구 수성로245번길 69 (정자동),지역응급의료기관,031-888-0114,031-888-0119,G007,A2100032,A2100032,36
경기도의료원안성병원,37.01736703,127.2603394,"경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)",지역응급의료기관,031-8046-5000,031-8046-5119,G007,A2100045,A2100045,37
경기도의료원의정부병원,37.7410883,127.0425549,경기도 의정부시 흥선로 142 (의정부동),지역응급의료기관,318285000,031-828-5119,G007,A2100043,A2100043,38
경기도의료원이천병원,37.28269444,127.4326639,경기도 이천시 경충대로 2742 (관고동),지역응급의료센터,031-630-4200,031-630-4333,G006,A2100193,A2100193,39
경기도의료원파주병원,37.75488021,126.7796379,"경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)",지역응급의료센터,031-940-9100,031-940-9119,G006,A2100035,A2100035,40
사랑의병원,37.47962478,126.9562858,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )",응급의료기관 외의 의료기관(응급의료시설),02-880-0114,02-880-0119,G009,A1100148,A1100148,161
산청군보건의료원,35.41604632,127.8841959,경상남도 산청군 산청읍 중앙로 97,지역응급의료기관,055-970-7500,055-970-7582,G007,E2800380,E2800380,162
삼성서울병원,37.48851613,127.0866825,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",지역응급의료센터,02-3410-2114,02-3410-2060,G006,A1100010,A1100010,163
삼성합천병원,35.56635668,128.1632717,경상남도 합천군 합천읍 대야로 876,지역응급의료기관,055-933-2200,070-5125-5030,G007,A2800055,A2800055,164
삼육부산병원,35.11177721,129.0107498,부산광역시 서구 대티로 170 (서대신동2가),지역응급의료기관,051-242-9751,051-600-7750,G007,A1200021,A1200021,165
삼육서울병원,37.587992,127.0653288,서울특별시 동대문구 망우로 82 (휘경동),지역응급의료센터,02-2244-0191,02-2210-3566,G006,A1100021,A1100021,166
삼일병원,35.83274795,128.5538551,"대구광역시 달서구 월배로 436, 지하1,지상1~11층 (송현동)",지역응급의료기관,053-659-3100,053-659-3119,G007,A1300045,A1300045,167
